identifier,pols_balance
6QvbPdjMEgKyxwVSn9OV381GRzBoqW,96.87336271
pRZPJGME2rVw9eESB9BzvXn5N3daby,26.77017398
XylVvMQDzk53xEOSj0roweA7J8E1GZ,0.070695235
NZGyKMre28boL1gS89YWdXJR4j3kE5,0.000311235
pln8kwomKj3V98PS19PezE7Q6DMWd4,0.001827227
VD2QPOjzmeyRLY3SO94GXZE57wbnYg,0
8jvnOaZbWJ2705GSYxg4yAdXRQYwPq,0
yGwbdPR2mnDO9m2SBxrA35oeBE8gN1,0
6RgWZDmGBOj1L2pS295PElQw2paANK,0
djB4nO3YklpELyRS60XNZz8w57M1qJ,50
eVA7ngYQ2WpKxORSl9y54PaOj1ZGbR,150
qRvg1Be2r6GaLoOSgLYKdp4nwmlA7j,11.17068811
vJGzRrdBgmAlLZWSZ0PkqpnZwj7oD8,11.17068811
2PJ548MpQrNX0JjSk0eDl6GzbaRqnk,4.1291974
VqAbzgR82wre9zlS2L1OaZEkpyW537,352.636665
4PX5n3wv6qlrxjYSY9Zp2M7VWygdao,3009.877605
V4EYmXOMvlzW07qS3xdyZp7JD6Ne8j,100
27vwVn1Q64YO0BmSDL3BRAjl8maMDW,2000
vG4oe5E2qnAO9VQSJ0XrYplam6V3k1,40
wq28ZBQl1AnWx64SY0M4pozDegOJbX,11.17068811
rakEJwN1dWeYLRXSg928Dy3zBvP7Kj,20949.36465
wogb2YrQ6pJAxlmSALqN8B3eavOml7,635.6220957
4m7DnNKabZAO9vBSM98Myz6J53vWgp,1215.446037
KabnJ8mVyM3G0XNSaxw5ZR1eDNW7Yp,271.9634855
XJ4bYGKnwlev0K7S60MkVz1ypR3EaP,3011.902166
q2W6DpjGJOPvxdeSgL4mQoyVZzgXKR,574.1761633
3kQyVE67NM4n9bPS2LeGOW1qX2gYdo,336.7492701
jMGElwpKZqWk9QvSgxy54aoBgbNY2R,298.6843448
wQRlYJBjvXAK9DySex7VZdmrbqn35M,315.3885413
ed3a4PpOMYJm0N6SX0D2X5jK8r7kZb,206.6181432
Mk3zZjrl5O7Dx3nSD9NnoE1Ye6VbWR,11.17068811
6n31vZykGbrVLWDSv0ojmzlWO42pJB,69.11023594
WJwBXD1av6Ed0gASDxANnY2bmOrz7o,1095.97
D5WzXM3nZAgyxpoS29er1OGQ2bVd7a,357.2838716
2RyXqevdko4N9nyS40pP5JA6wVnaj3,1055.42942
MElVo5r3QYAdxrJSmxZNyJDBvO2mjK,50
JYqVAE17ReWB0GZSvLMNrKOlj6ZyQv,102.8850981
KbnMvkYNQ1Elx4rSN0q6y2mDrJGVWR,11.17068811
rjMv8OQ3kny40qZSe9Em2AepGVYbD6,3010.242534
4lnQGwmg5q860PlS80BvjEebzoRZrP,128.982914
yaMAq4mz5XQNxaqSwyx1vPRnbD3EOW,260
BqpzWQ1EX37Z9k5SNNLPJyabVDAvM5,3208.689514
6QvbPdjMEgKyxwVSrn9OV381GRzBoq,1130.998975
pRZPJGME2rVw9eESVB9BzvXn5N3dab,1706.143048
XylVvMQDzk53xEOSrj0roweA7J8E1G,0.01223952
NZGyKMre28boL1gS389YWdXJR4j3kE,260.308
Yn2qB54ba7DR0A5SaR0k8ZvJ6lAeow,201.677278
eG6JEOgajVz79MVSPEx2RXo8yYwM4A,1467.679756
pln8kwomKj3V98PSZ19PezE7Q6DMWd,3064.43232
VD2QPOjzmeyRLY3SAO94GXZE57wbnY,0.000004134
8jvnOaZbWJ2705GS7Yxg4yAdXRQYwP,1027.797752
yGwbdPR2mnDO9m2SkBxrA35oeBE8gN,0.052005503
6RgWZDmGBOj1L2pSO295PElQw2paAN,10.0031
djB4nO3YklpELyRSz60XNZz8w57M1q,10
eVA7ngYQ2WpKxORSZl9y54PaOj1ZGb,80
qRvg1Be2r6GaLoOSAgLYKdp4nwmlA7,120
vJGzRrdBgmAlLZWSyZ0PkqpnZwj7oD,751
2PJ548MpQrNX0JjSnk0eDl6GzbaRqn,63.46242264
VqAbzgR82wre9zlSl2L1OaZEkpyW53,100
4PX5n3wv6qlrxjYS6Y9Zp2M7VWygda,10
V4EYmXOMvlzW07qSG3xdyZp7JD6Ne8,250.867649
27vwVn1Q64YO0BmSXDL3BRAjl8maMD,417.8262738
vG4oe5E2qnAO9VQSpJ0XrYplam6V3k,4
wq28ZBQl1AnWx64S5Y0M4pozDegOJb,3087.24624
rakEJwN1dWeYLRXSKg928Dy3zBvP7K,3151.948232
wogb2YrQ6pJAxlmSbALqN8B3eavOml,200
4m7DnNKabZAO9vBSQM98Myz6J53vWg,12450.21553
KabnJ8mVyM3G0XNSEaxw5ZR1eDNW7Y,1275.082872
XJ4bYGKnwlev0K7Sb60MkVz1ypR3Ea,0.000087318
q2W6DpjGJOPvxdeS3gL4mQoyVZzgXK,3000.01732
3kQyVE67NM4n9bPSa2LeGOW1qX2gYd,0.055086976
jMGElwpKZqWk9QvSDgxy54aoBgbNY2,114.3339208
wQRlYJBjvXAK9DySqex7VZdmrbqn35,38.33281959
ed3a4PpOMYJm0N6SqX0D2X5jK8r7kZ,154.4269282
Mk3zZjrl5O7Dx3nSMD9NnoE1Ye6VbW,760
6n31vZykGbrVLWDSNv0ojmzlWO42pJ,221.2104535
WJwBXD1av6Ed0gAS5DxANnY2bmOrz7,3001
D5WzXM3nZAgyxpoSp29er1OGQ2bVd7,3083.806356
2RyXqevdko4N9nySX40pP5JA6wVnaj,11.17068811
MElVo5r3QYAdxrJSGmxZNyJDBvO2mj,819.6121875
JYqVAE17ReWB0GZSzvLMNrKOlj6ZyQ,1007.165662
KbnMvkYNQ1Elx4rSZN0q6y2mDrJGVW,0.000000001
